episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,237,1,"00:13:26,250","00:13:27,740",ARMAND,Louis has his ways.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,238,1,"00:13:32,790","00:13:36,220",LOUIS DE POINTE DU LAC,"You could tell from his walk, he was an American.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.78; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,239,1,"00:13:36,270","00:13:37,860",DANIEL MOLLOY,I'm an American.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.43; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,240,1,"00:13:37,910","00:13:40,720",DANIEL MOLLOY,What exactly is an American walk?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,ARMAND | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,241,1,"00:13:40,779","00:13:42,670",LOUIS DE POINTE DU LAC,Two wars had made a certain impression,uncertain,best contextual candidate from text-only sources,recognition_margin=0.56; no episode audio used,English,,ARMAND | SANTIAGO | CLAUDIA
S02E02,242,1,"00:13:42,710","00:13:44,239",LOUIS DE POINTE DU LAC,on the men of France.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.56; no episode audio used,English,,ARMAND | SANTIAGO | CLAUDIA
S02E02,243,1,"00:13:44,240","00:13:48,610",LOUIS DE POINTE DU LAC,There was no way to describe it other than... optimistic.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.74; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,244,1,"00:13:48,661","00:13:51,810",DANIEL MOLLOY,There was a park I'd heard about.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.35; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,245,1,"00:13:53,040","00:13:55,320",LOUIS DE POINTE DU LAC,I would go to this park often.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.35; no episode audio used,English,,ARMAND | SANTIAGO | DANIEL MOLLOY
S02E02,246,1,"00:13:57,240","00:14:00,060",DANIEL MOLLOY,"I was an armored thing that spring,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.33; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,247,1,"00:14:01,680","00:14:03,910",LOUIS DE POINTE DU LAC,"someone steady on his feet, but...",uncertain,best contextual candidate from text-only sources,recognition_margin=0.53; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,248,1,"00:14:04,900","00:14:07,010",DANIEL MOLLOY,With a history of chasing the wrong kind of love.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.75; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,249,1,"00:14:07,030","00:14:09,160",LOUIS DE POINTE DU LAC,"I'll describe it myself, thank you.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.97; no episode audio used,English,,SANTIAGO | ARMAND | DANIEL MOLLOY
S02E02,250,1,"00:14:09,210","00:14:10,380",LOUIS DE POINTE DU LAC,Yes.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.08; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
